# magma_nn cublas_nn magma_nt cublas_nt sgemm_nn sgemm_nt test_nt
4 3e-05 1e-05	 9e-05 3e-05	0.000032	0.000032	0.000031
8 4e-05 1e-05	 5e-05 2e-05	0.000045	0.000043	0.000221
12 6e-05 3e-05	 6e-05 0.00016	0.000060	0.000055	0.000499
16 7e-05 4e-05	 8e-05 4e-05	0.000085	0.000072	0.001859
20 0.00013 8e-05	 0.00013 8e-05	0.000254	0.000208	0.006794
24 0.00021 0.00017	 0.00021 0.00017	0.000496	0.000317	0.016852
28 0.00049 0.00029	 0.0005 0.00031	0.001137	0.000799	0.042667
32 0.00095 0.00051	 0.00091 0.00048	0.001873	0.001353	0.091746
36 0.00176 0.00118	 0.00179 0.00121	0.003708	0.002717	
40 0.00303 0.00286	 0.00287 0.0029	0.006371	0.004296	
44 0.00551 0.00361	 0.00567 0.00409	0.011413	0.007635	
48 0.008 0.00553	 0.0083 0.0078	0.016195	0.010515	
52 0.01383 0.00942	 0.01426 0.01421	0.027321	0.017570	
56 0.02039 0.01757	 0.02106 0.02527	0.040857	0.025788	
60 0.02817 0.01972	 0.03188 0.03583	0.061545	0.038679	
64 0.04071 0.02721	 0.04177 0.03468	0.084912	0.055016	
72 0.0807 0.06531	 0.08417 0.12218	0.175847	0.109988	
80 0.15322 0.10443	 0.17495 0.21911	0.333821	0.208193	
88 0.2738 0.21156	 0.30289 0.43183	0.586580	0.366381	
96 0.46875 0.3212	 0.50065 0.68932	0.966493	0.608526	
104 0.77622 0.5867	 0.82956 1.20462	1.589207	0.991852	
112 0.84295 0.84718	 1.8162 1.81133	2.458330	1.544674	
120 1.36308 1.36533	 2.82633 2.83366	3.733944	2.352677	
