# n tdot magma_cgemm_nn cublas_cgemm_nn
4 0.000033 3e-05 1e-05
8 0.000056 4e-05 1e-05
12 0.000088 6e-05 4e-05
16 0.000137 9e-05 8e-05
20 0.000662 0.00024 0.00027
24 0.001359 0.00046 0.0005
28 0.003625 0.00108 0.00131
32 0.006108 0.00211 0.00239
36 0.013319 0.00442 0.0052
40 0.023183 0.0075 0.00866
44 0.042197 0.01381 0.01587
48 0.067634 0.02008 0.02323
52 0.112390 0.03319 0.0382
56 0.168150 0.05014 0.05767
60 0.261135 0.0776 0.08921
64 0.372787 0.11104 0.12781
72 0.752329 0.22923 0.26441
80 1.412752 0.45229 0.51118
88 2.499678 0.82141 0.92115
96 4.209467 1.39405 1.55757
104 6.770403 2.27719 2.53846
