# n     trans1           trans2       magma_sgemm_nn cublas_sgemm_nn tdot
  4 3.21865081787e-05 2.38418579102e-05	 3.0e-05 1.0e-05	0.000145
  8 8.60691070557e-05 7.70092010498e-05	 4.0e-05 1.0e-05	0.000145
 12 0.000332117080688 0.000268936157227	 6.0e-05 3.0e-05	0.000146
 16 0.00101017951965 0.000730991363525	 7.0e-05 4.0e-05	0.000173
 20 0.00225591659546 0.00159597396851	 0.00013 8e-05	0.000473
 24 0.00486207008362 0.00419187545776	 0.00021 0.00017	0.000577
 28 0.0079550743103 0.00790500640869	 0.00049 0.00029	0.002589
 32 0.0122008323669 0.0157299041748	 0.00095 0.00051	0.003338
 36 0.0177519321442 0.0424740314484	 0.00176 0.00118	0.008792
 40 0.0493710041046 0.0730760097504	 0.00303 0.00286	0.010621
 44 0.0858671665192 0.113671064377	 0.00551 0.00361	0.013130
 48 0.154704093933 0.176786899567	 0.008 0.00553	0.015666
 52 0.205394983292 0.207710027695	 0.01383 0.00942	0.080893
 56 0.256976127625 0.285578012466	 0.02039 0.01757	0.093375
 60 0.29950094223 0.398161888123	 0.02817 0.01972	0.109427
 64 0.36502289772 0.628806114197	 0.04071 0.02721	0.123653
 72 0.634110927582 0.993293046951	 0.0807 0.06531	0.269110
 80 0.95613193512 1.53191494942	 0.15322 0.10443	0.618343
 88 1.4112610817 2.21904921532	 0.2738 0.21156	1.098489
 96 1.88337898254 3.19452214241	 0.46875 0.3212	1.305278
104 2.71735501289 4.34950494766	 0.77622 0.5867	3.522168
112 3.63624000549 5.87681388855	 0.84295 0.84718	4.081933
120 4.79814887047 7.70602011681	 1.36308 1.36533	6.181886
